modelo,capas,fold,val_accuracy,val_recall,val_f1,val_auc,val_loss
5,"[32, 32, 32]",1,0.7055730819702148,0.8723404255319149,0.18981481481481483,0.855802962045013,0.4927668273448944
5,"[32, 32, 32]",2,0.7644089460372925,0.8031914893617021,0.21237693389592124,0.8525561271563172,0.4248718023300171
5,"[32, 32, 32]",3,0.7793437242507935,0.8085106382978723,0.2246858832224686,0.870701344815053,0.4038219749927521
5,"[32, 32, 32]",4,0.7044594287872314,0.851063829787234,0.1855072463768116,0.8501272122347416,0.46500566601753235
5,"[32, 32, 32]",5,0.7517879605293274,0.8351063829787234,0.2101740294511379,0.8518216279438215,0.3856251835823059
