modelo,capas,fold,val_accuracy,val_recall,val_f1,val_auc,val_loss
4,"[64, 32, 32]",1,0.4042060971260071,0.9787234042553191,0.11496407372696033,0.8559019608756622,0.9764440059661865
4,"[64, 32, 32]",2,0.6861590147018433,0.8829787234042553,0.18201754385964913,0.8553787942330453,0.5662919282913208
4,"[64, 32, 32]",3,0.80647873878479,0.776595744680851,0.24092409240924093,0.8701514897344852,0.36506402492523193
4,"[64, 32, 32]",4,0.6600757241249084,0.898936170212766,0.172978505629478,0.8477553797261907,0.5694004893302917
4,"[64, 32, 32]",5,0.903239369392395,0.4574468085106383,0.2721518987341772,0.8453631606415597,0.2101537436246872
