modelo,capas,fold,val_accuracy,val_recall,val_f1,val_auc,val_loss
2,"[32, 32]",1,0.6946372389793396,0.8882978723404256,0.187010078387458,0.8570782999221986,0.5250129103660583
2,"[32, 32]",2,0.7412704825401306,0.8351063829787234,0.2033678756476684,0.8546460424413566,0.4697858393192291
2,"[32, 32]",3,0.7193942070007324,0.8723404255319149,0.197352587244284,0.8696855108526482,0.49050599336624146
2,"[32, 32]",4,0.7806057929992676,0.7553191489361702,0.21401657874905802,0.8504883458681652,0.4050310552120209
2,"[32, 32]",5,0.7303323745727539,0.8563829787234043,0.20074812967581046,0.8523540088163204,0.46890729665756226
