modelo,capas,fold,val_accuracy,val_recall,val_f1,val_auc,val_loss
1,"[64, 32]",1,0.7120925188064575,0.8723404255319149,0.1932822628167354,0.858316367651375,0.4877777099609375
1,"[64, 32]",2,0.8230963349342346,0.7021276595744681,0.23891402714932128,0.8537001053112272,0.3478480279445648
1,"[64, 32]",3,0.7620950937271118,0.8351063829787234,0.21730103806228374,0.8706652314517107,0.4678269028663635
1,"[64, 32]",4,0.71602863073349,0.8457446808510638,0.1906474820143885,0.8508063764550189,0.5013718605041504
1,"[64, 32]",5,0.6687000393867493,0.8882978723404256,0.1749607124148769,0.8501196400779116,0.5786006450653076
