modelo,capas,fold,val_accuracy,val_recall,val_f1,val_auc,val_loss
3,"[128, 64, 32]",1,0.7920083999633789,0.7819148936170213,0.22915042868277474,0.8613503906377388,0.3954935669898987
3,"[128, 64, 32]",2,0.6152713298797607,0.9361702127659575,0.16139385602934433,0.8579067296670114,0.6428734660148621
3,"[128, 64, 32]",3,0.5940260887145996,0.9521276595744681,0.15646853146853146,0.868736078880905,0.6453606486320496
3,"[128, 64, 32]",4,0.7183424234390259,0.8297872340425532,0.1889763779527559,0.8494002851790757,0.470196396112442
3,"[128, 64, 32]",5,0.7763988375663757,0.776595744680851,0.2154981549815498,0.8502722481617133,0.3884749114513397
